NAICS Codes;NAICS Industry Description;"Size Standards 
in millions of dollars";Size standards in number of employees;Footnotes;
;Sector 11 – Agriculture, Forestry, Fishing and Hunting;;;;
Subsector 111 – Crop Production;;;;;
111110;Soybean Farming; $1,0 ;;;
111120;Oilseed (except Soybean) Farming; $1,0 ;;;
111130;Dry Pea and Bean Farming; $1,0 ;;;
111140;Wheat Farming; $1,0 ;;;
111150;Corn Farming; $1,0 ;;;
111160;Rice Farming; $1,0 ;;;
111191;Oilseed and Grain Combination Farming; $1,0 ;;;
111199;All Other Grain Farming; $1,0 ;;;
111211;Potato Farming; $1,0 ;;;
111219;Other Vegetable (except Potato) and Melon Farming  ; $1,0 ;;;
111310;Orange Groves; $1,0 ;;;
111320;Citrus (except Orange) Groves; $1,0 ;;;
111331;Apple Orchards; $1,0 ;;;
111332;Grape Vineyards; $1,0 ;;;
111333;Strawberry Farming; $1,0 ;;;
111334;Berry (except Strawberry) Farming; $1,0 ;;;
111335;Tree Nut Farming; $1,0 ;;;
111336;Fruit and Tree Nut Combination Farming; $1,0 ;;;
111339;Other Noncitrus Fruit Farming; $1,0 ;;;
111411;Mushroom Production; $1,0 ;;;
111419;Other Food Crops Grown Under Cover; $1,0 ;;;
111421;Nursery and Tree Production; $1,0 ;;;
111422;Floriculture Production; $1,0 ;;;
111910;Tobacco Farming; $1,0 ;;;
111920;Cotton Farming; $1,0 ;;;
111930;Sugarcane Farming; $1,0 ;;;
111940;Hay Farming; $1,0 ;;;
111991;Sugar Beet Farming  ; $1,0 ;;;
111992;Peanut Farming  ; $1,0 ;;;
111998;All Other Miscellaneous Crop Farming; $1,0 ;;;
Subsector 112 – Animal Production and Aquaculture;;;;;
112111;Beef Cattle Ranching and Farming; $1,0 ;;;
112112;Cattle Feedlots; $8,0 ;;;
112120;Dairy Cattle and Milk Production; $1,0 ;;;
112210;Hog and Pig Farming; $1,0 ;;;
112310;Chicken Egg Production; $16,5 ;;;
112320;Broilers and Other Meat Type Chicken Production  ; $1,0 ;;;
112330;Turkey Production; $1,0 ;;;
112340;Poultry Hatcheries; $1,0 ;;;
112390;Other Poultry Production; $1,0 ;;;
112410;Sheep Farming; $1,0 ;;;
112420;Goat Farming; $1,0 ;;;
112511;Finfish Farming and Fish Hatcheries; $1,0 ;;;
112512;Shellfish Farming; $1,0 ;;;
112519;Other  Aquaculture; $1,0 ;;;
112910;Apiculture; $1,0 ;;;
112920;Horses and Other Equine Production; $1,0 ;;;
112930;Fur‑Bearing Animal and Rabbit Production; $1,0 ;;;
112990;All Other Animal Production; $1,0 ;;;
Subsector 113 – Forestry and Logging;;;;;
113110;Timber Tract Operations; $12,0 ;;;
113210;Forest Nurseries and Gathering of Forest Products; $12,0 ;;;
113310;Logging;;500 ;;
Subsector 114 – Fishing, Hunting and Trapping;;;;;
114111;Finfish Fishing; $22,0 ;;;
114112;Shellfish Fishing; $6,0 ;;;
114119;Other Marine Fishing; $8,0 ;;;
114210;Hunting and Trapping; $6,0 ;;;
Subsector 115 – Support Activities for Agriculture and Forestry;;;;;
115111;Cotton Ginning; $12,0 ;;;
115112;Soil Preparation, Planting, and Cultivating; $8,0 ;;;
115113;Crop Harvesting, Primarily by Machine; $8,0 ;;;
115114;Postharvest Crop Activities (except Cotton Ginning); $30,0 ;;;
115115;Farm Labor Contractors and Crew Leaders; $16,5 ;;;
115116;Farm Management Services; $8,0 ;;;
115210;Support Activities for Animal Production; $8,0 ;;;
115310;Support Activities for Forestry  ; $8,0 ;;;
115310_a_Except   ;Forest Fire Suppression17; $20,5 ;;See footnote 17;
115310_b_Except   ;Fuels Management Services17; $20,5 ;;See footnote 17;
;Sector 21 – Mining, Quarrying, and Oil and Gas Extraction;;;;
Subsector 211 – Oil and Gas Extraction;;;;;
211120;Crude Petroleum Extraction;;1 250;;
211130;Natural Gas Extraction;;1 250;;
Subsector 212 – Mining (except Oil and Gas);;;;;
212111;Bituminous Coal and Lignite Surface Mining;;1 250 ;;
212112;Bituminous Coal Underground Mining;;1 500 ;;
212113;Anthracite Mining;;250 ;;
212210;Iron Ore Mining;;750 ;;
212221;Gold Ore Mining;;1 500 ;;
212222;Silver Ore Mining;;250 ;;
212230;Copper, Nickel, Lead, and Zinc Mining;;750;;
212291;Uranium‑Radium‑Vanadium Ore Mining;;250 ;;
212299;All Other Metal Ore Mining;;750 ;;
212311;Dimension Stone Mining and Quarrying;;500 ;;
212312;Crushed and Broken Limestone Mining and Quarrying;;750 ;;
212313;Crushed and Broken Granite Mining and Quarrying;;750 ;;
212319;Other Crushed and Broken Stone Mining and Quarrying;;500 ;;
212321;Construction Sand and Gravel Mining;;500 ;;
212322;Industrial Sand Mining;;500 ;;
212324;Kaolin and Ball Clay Mining;;750 ;;
212325;Clay and Ceramic and Refractory Minerals Mining  ;;500 ;;
212391;Potash, Soda, and Borate Mineral Mining;;750 ;;
212392;Phosphate Rock Mining;;1 000 ;;
212393;Other Chemical and Fertilizer Mineral Mining;;500 ;;
212399;All Other Nonmetallic Mineral Mining;;500 ;;
Subsector 213 – Support Activities for Mining;;;;;
213111;Drilling Oil and Gas Wells;;1 000 ;;
213112;Support Activities for Oil and Gas Operations; $41,5 ;;;
213113;Support Activities for Coal Mining; $22,0 ;;;
213114;Support Activities for Metal Mining; $22,0 ;;;
213115;Support Activities for Nonmetallic Minerals (except Fuels); $8,0 ;;;
;Sector 22 – Utilities;;;;
Subsector 221 – Utilities;;;;;
221111;Hydroelectric Power Generation;;500 ;;
221112;Fossil Fuel Electric Power Generation;;750 ;;
221113;Nuclear Electric Power Generation;;750 ;;
221114;Solar Electric Power Generation;;250 ;;
221115;Wind Electric Power Generation;;250 ;;
221116;Geothermal Electric Power Generation;;250 ;;
221117;Biomass Electric Power Generation;;250 ;;
221118;Other Electric Power Generation;;250 ;;
221121;Electric Bulk Power Transmission and Control;;500 ;;
221122;Electric Power Distribution;;1 000 ;;
221210;Natural Gas Distribution;;1 000 ;;
221310;Water Supply and Irrigation Systems; $30,0 ;;;
221320;Sewage Treatment Facilities; $22,0 ;;;
221330;Steam and Air‑Conditioning Supply; $16,5 ;;;
;Sector 23 – Construction;;;;
Subsector  236 – Construction of Buildings;;;;;
236115;New Single-family Housing Construction (Except For-Sale Builders); $39,5 ;;;
236116;New Multifamily Housing Construction (except For-Sale Builders); $39,5 ;;;
236117;New Housing For-Sale Builders; $39,5 ;;;
236118;Residential Remodelers; $39,5 ;;;
236210;Industrial Building Construction; $39,5 ;;;
236220;Commercial and Institutional Building Construction; $39,5 ;;;
Subsector 237 – Heavy and Civil Engineering Construction;;;;;
237110;Water and Sewer Line and Related Structures Construction; $39,5 ;;;
237120;Oil and Gas Pipeline and Related Structures Construction; $39,5 ;;;
237130;Power and Communication Line and Related Structures Construction; $39,5 ;;;
237210;Land Subdivision; $30,0 ;;;
237310;Highway, Street, and Bridge Construction; $39,5 ;;;
237990;Other Heavy and Civil Engineering Construction; $39,5 ;;;
237990_Except   ;Dredging and Surface Cleanup Activities2; $30,0 ;;See footnote 2;
Subsector 238 – Specialty Trade Contractors;;;;;
238110;Poured Concrete Foundation and Structure Contractors; $16,5 ;;;
238120;Structural Steel and Precast Concrete Contractors; $16,5 ;;;
238130;Framing Contractors; $16,5 ;;;
238140;Masonry Contractors; $16,5 ;;;
238150;Glass and Glazing Contractors; $16,5 ;;;
238160;Roofing Contractors; $16,5 ;;;
238170;Siding Contractors; $16,5 ;;;
238190;Other Foundation, Structure, and Building Exterior Contractors; $16,5 ;;;
238210;Electrical Contractors and Other Wiring Installation Contractors; $16,5 ;;;
238220;Plumbing, Heating, and Air‑Conditioning Contractors   ; $16,5 ;;;
238290;Other Building Equipment Contractors; $16,5 ;;;
238310;Drywall and Insulation Contractors; $16,5 ;;;
238320;Painting and Wall Covering Contractors; $16,5 ;;;
238330;Flooring Contractors; $16,5 ;;;
238340;Tile and Terrazzo Contractors; $16,5 ;;;
238350;Finish Carpentry Contractors; $16,5 ;;;
238390;Other Building Finishing Contractors; $16,5 ;;;
238910;Site Preparation Contractors; $16,5 ;;;
238990;All Other Specialty Trade Contractors; $16,5 ;;;
238990_Except   ;Building and Property Specialty Trade Services 13; $16,5 ;;See footnote 13;
;Sector 31 – 33 – Manufacturing;;;;
Subsector 311 – Food Manufacturing;;;;;
